epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,467.978,1.34758,1.62791,1.32071,0.61697,0.50274,0.48887,0.18463,2.22221,1.69055,1.63756,0.00183764,0.00183764,0.00183764
43,478.771,1.31155,1.6386,1.3033,0.65781,0.57174,0.56282,0.27253,1.85436,1.54745,1.39795,0.00183368,0.00183368,0.00183368
44,489.635,1.33625,1.547,1.30842,0.59295,0.51917,0.4678,0.28763,1.39455,1.58493,1.22245,0.00182972,0.00182972,0.00182972
45,500.623,1.29815,1.58138,1.2853,0.6899,0.57265,0.56688,0.35481,1.44594,1.42986,1.20422,0.00182576,0.00182576,0.00182576
46,512.171,1.3185,1.59257,1.30282,0.64434,0.55203,0.52914,0.35693,1.31674,1.5539,1.17124,0.0018218,0.0018218,0.0018218
47,523.174,1.34797,1.69025,1.31514,0.63179,0.55641,0.52123,0.36036,1.26772,1.55383,1.15362,0.00181784,0.00181784,0.00181784
48,534.428,1.33199,1.57228,1.31042,0.71218,0.54473,0.564,0.2624,1.8879,1.50431,1.40468,0.00181388,0.00181388,0.00181388
49,545.472,1.33089,1.62004,1.30332,0.66418,0.54807,0.54305,0.27944,1.75081,1.54467,1.33999,0.00180992,0.00180992,0.00180992
50,556.787,1.30094,1.59434,1.29384,0.66027,0.5586,0.56096,0.23665,2.05888,1.73197,1.49761,0.00180596,0.00180596,0.00180596
51,568.202,1.29285,1.56893,1.28451,0.66744,0.55396,0.56192,0.3392,1.55215,1.44418,1.23552,0.001802,0.001802,0.001802
52,579.191,1.31344,1.5846,1.27446,0.66278,0.56736,0.55781,0.30667,1.64923,1.62907,1.25856,0.00179804,0.00179804,0.00179804
53,590.459,1.32113,1.52888,1.29458,0.62291,0.5645,0.50118,0.24798,1.85199,1.67019,1.37445,0.00179408,0.00179408,0.00179408
54,601.305,1.32804,1.54683,1.3087,0.6965,0.55312,0.56946,0.37004,1.37246,1.4433,1.20866,0.00179012,0.00179012,0.00179012
55,612.033,1.33936,1.58891,1.31096,0.6713,0.56146,0.53595,0.23903,2.0079,1.78188,1.43874,0.00178616,0.00178616,0.00178616
56,622.722,1.27645,1.5078,1.28833,0.66649,0.56188,0.54784,0.28848,1.82143,1.55469,1.36328,0.0017822,0.0017822,0.0017822
57,634.16,1.27889,1.60841,1.29989,0.66545,0.55422,0.53818,0.3092,1.64163,1.54098,1.32204,0.00177824,0.00177824,0.00177824
58,645.399,1.25428,1.43622,1.25987,0.63769,0.54364,0.5387,0.36309,1.32569,1.55697,1.19636,0.00177428,0.00177428,0.00177428
59,656.365,1.28248,1.56603,1.27818,0.6513,0.5805,0.55886,0.34804,1.39018,1.40346,1.1829,0.00177032,0.00177032,0.00177032
60,667.168,1.25592,1.56159,1.28231,0.69132,0.54765,0.58215,0.39657,1.3206,1.40803,1.16965,0.00176636,0.00176636,0.00176636
61,678.573,1.2643,1.54123,1.2835,0.62036,0.57612,0.55382,0.36971,1.3376,1.63603,1.18993,0.0017624,0.0017624,0.0017624
62,689.321,1.25673,1.52997,1.25386,0.6596,0.57093,0.56195,0.24163,2.11715,1.46631,1.52747,0.00175844,0.00175844,0.00175844
63,700.459,1.26743,1.56613,1.28085,0.65325,0.56627,0.55532,0.32568,1.5477,1.47992,1.25404,0.00175448,0.00175448,0.00175448
64,711.933,1.27265,1.55929,1.28108,0.68687,0.56955,0.56236,0.35325,1.45489,1.41324,1.19055,0.00175052,0.00175052,0.00175052
65,723.731,1.26134,1.54107,1.27296,0.64427,0.56407,0.57717,0.34341,1.52245,1.3935,1.23169,0.00174656,0.00174656,0.00174656
66,735.044,1.28144,1.55744,1.28122,0.65434,0.5764,0.56896,0.35323,1.52913,1.44458,1.23812,0.0017426,0.0017426,0.0017426
67,746.497,1.28669,1.56365,1.2863,0.69268,0.5575,0.57454,0.36206,1.45836,1.41791,1.22358,0.00173864,0.00173864,0.00173864
68,757.724,1.28877,1.5361,1.28161,0.62795,0.57831,0.55258,0.33811,1.48061,1.43811,1.22536,0.00173468,0.00173468,0.00173468
69,769.124,1.22547,1.46746,1.25624,0.66413,0.51113,0.53773,0.15502,2.52293,1.62419,1.82373,0.00173072,0.00173072,0.00173072
70,780.062,1.30839,1.48262,1.29196,0.67004,0.55604,0.55687,0.39565,1.17438,1.38008,1.1202,0.00172676,0.00172676,0.00172676
71,791.352,1.27798,1.52318,1.25815,0.65019,0.58708,0.57036,0.36538,1.39847,1.37955,1.19296,0.0017228,0.0017228,0.0017228
72,802.725,1.27183,1.55752,1.26392,0.63142,0.5575,0.54735,0.36239,1.36089,1.4642,1.19667,0.00171884,0.00171884,0.00171884
73,814.083,1.26129,1.53346,1.28468,0.62035,0.47964,0.48082,0.11584,2.83751,1.70866,2.10449,0.00171488,0.00171488,0.00171488
74,825.367,1.2398,1.50421,1.26179,0.67934,0.57778,0.57326,0.28325,1.86778,1.51032,1.40221,0.00171092,0.00171092,0.00171092
75,836.48,1.2505,1.48766,1.25392,0.679,0.56627,0.54701,0.32577,1.51167,1.46641,1.23058,0.00170696,0.00170696,0.00170696
76,847.263,1.22255,1.54066,1.24254,0.66334,0.5586,0.56701,0.34703,1.52191,1.4902,1.23417,0.001703,0.001703,0.001703
77,858.106,1.23402,1.49223,1.2702,0.66374,0.57284,0.57002,0.35537,1.40899,1.56777,1.19623,0.00169904,0.00169904,0.00169904
78,868.839,1.22518,1.49961,1.26071,0.66725,0.59146,0.58442,0.40289,1.258,1.35533,1.14762,0.00169508,0.00169508,0.00169508
79,879.657,1.21629,1.55059,1.25294,0.70331,0.54765,0.57479,0.33465,1.55295,1.52414,1.26591,0.00169112,0.00169112,0.00169112
80,890.465,1.22202,1.49716,1.2351,0.66394,0.57941,0.57388,0.3925,1.23526,1.57058,1.13133,0.00168716,0.00168716,0.00168716
81,901.678,1.2423,1.48917,1.27599,0.66372,0.5575,0.57579,0.36438,1.47763,1.49692,1.22618,0.0016832,0.0016832,0.0016832
82,912.65,1.22845,1.5808,1.2585,0.63157,0.54074,0.51965,0.29029,1.6663,1.52102,1.30372,0.00167924,0.00167924,0.00167924
83,923.795,1.2332,1.46717,1.24569,0.6357,0.56573,0.53829,0.37426,1.2306,1.44688,1.15624,0.00167528,0.00167528,0.00167528
84,934.889,1.2285,1.45218,1.26251,0.67031,0.57677,0.58019,0.33666,1.58764,1.40913,1.2669,0.00167132,0.00167132,0.00167132
85,945.88,1.20951,1.50554,1.26261,0.67873,0.56736,0.57159,0.40107,1.24227,1.3467,1.15217,0.00166736,0.00166736,0.00166736
86,956.561,1.23838,1.48622,1.26641,0.69069,0.55203,0.57425,0.32239,1.66222,1.39543,1.28384,0.0016634,0.0016634,0.0016634
87,967.267,1.22383,1.50418,1.25191,0.58438,0.51917,0.50506,0.33032,1.38608,1.5328,1.19429,0.00165944,0.00165944,0.00165944
88,977.864,1.22418,1.55952,1.26068,0.66748,0.54526,0.5555,0.34849,1.45942,1.41786,1.21716,0.00165548,0.00165548,0.00165548
89,988.868,1.2572,1.48072,1.28107,0.63059,0.59474,0.56545,0.30225,1.6824,1.43925,1.31482,0.00165152,0.00165152,0.00165152
90,999.646,1.21454,1.39821,1.22839,0.65581,0.57065,0.56249,0.38193,1.23699,1.51287,1.12923,0.00164756,0.00164756,0.00164756
91,1010.93,1.19976,1.43095,1.22708,0.66813,0.5816,0.57616,0.37504,1.35812,1.41008,1.1726,0.0016436,0.0016436,0.0016436
92,1021.83,1.24094,1.55849,1.25877,0.67296,0.58269,0.57055,0.39235,1.26808,1.60555,1.15117,0.00163964,0.00163964,0.00163964
93,1032.55,1.22173,1.57733,1.26984,0.66641,0.55093,0.56462,0.29586,1.72795,1.50884,1.33815,0.00163568,0.00163568,0.00163568
94,1043.42,1.20739,1.47076,1.22771,0.67639,0.55172,0.55477,0.34428,1.47337,1.38831,1.22752,0.00163172,0.00163172,0.00163172
